Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
31454 0103 2,Damn The Machine,Damn The Machine,A&M Records,"CD, Album",,1993,4620147,verkoop,2017-06-19 03:33:36,,,
540 750 2,Blues Traveler,Straight On Till Morning,A&M Records,"CD, Album",,1997,5904305,verkoop,2017-06-19 04:20:54,,,
CD 9160,The Works (5),From Out Of Nowhere,A&M Records Of Canada Limited,"CD, Album",,1989,7650978,verkoop,2017-06-18 14:25:31,,,
"7567-80506-2, 7567-80506-2 YS",King's X,King's X,"Atlantic, Atlantic","CD, Album",,1992,520423,verkoop,2017-06-19 07:08:19,,,
GHCD3,Galahad,Nothing Is Written,Avalon Records,"CD, Album",,1991,3291253,verkoop,2017-06-19 03:01:29,,,
SAGCD-7,Saga (3),Behaviour,Bel Aire,"CD, Album",,1985,5463134,verkoop,2017-06-18 14:24:15,,,
BMCD 100,World Of Silence,Window Of Heaven,Black Mark Production,"CD, Album",,1996,3293221,verkoop,2017-06-19 09:04:52,,,
260 367,Saga (3),The Beginner's Guide To Throwing Shapes,Bon Aire,"CD, Album",,1989,572744,verkoop,2017-06-19 03:26:50,,,
"258 162, 258162-222",Saga (3),Silent Knight,"Bon Aire, Bon Aire","CD, Album, RE",,1987,1136064,verkoop,2017-06-19 03:29:31,,,
3705-61512-2,My Sister's Machine,Wallflower,"Chameleon Records (2), Elektra","CD, Album",,1993,3112420,verkoop,2017-06-19 03:32:48,,,
2001092,1st Avenue (2),Daily Battle,CNR Music,"CD, Album",,1994,5040167,verkoop,2017-06-18 14:19:54,,,
484468 2,Michael Bolton,The Hunger,Columbia,"CD, Album",,1987,4422541,verkoop,2017-06-19 03:34:16,,,
CK 67578,Sponge (3),Wax Ecstatic,Columbia,"CD, Album",,1996,9096096,verkoop,2017-06-19 01:57:33,,,
"SAMP 9501, COL SAMP 9501",Various,Rock Hits - 17 Classic Rock Songs,"Columbia, Columbia","CD, Comp, Smplr, Promo",,1995,2978185,verkoop,2017-06-19 07:16:33,,,
DCD9414,Sahara (4),The Seventh House,"Dream Circle Records, Polydor","CD, Album",,1994,4467718,verkoop,2017-06-19 05:16:25,,,
085-46562,John Wetton,Chasing The Dragon,Eclipse (3),"CD, Album",,1995,1103853,verkoop,2017-06-19 06:01:57,,,
8315902,Diesel (3),Solid State Rhyme,EMI,"CD, Album, Ltd, Gol",,1994,4549739,verkoop,2017-06-19 06:09:28,,,
CDP-7-93908-2,Alias (13),Alias,"EMI Records USA, EMI","CD, Album",,1990,8167078,verkoop,2017-06-19 09:08:36,,,
"483791 2, EPC 483791 2",Amanda Marshall,Amanda Marshall,"Epic, Epic","CD, Album",,1996,1453820,verkoop,2017-06-18 14:21:39,,,
314 517 156-2,The God Machine,Scenes From The Second Storey,"Fiction Records, Polydor","CD, Album",,1993,2488098,verkoop,2017-06-19 03:04:50,,,
FLD9214,Liaison (6),Urgency,Frontline Records (3),"CD, Album",,1991,4233936,verkoop,2017-06-19 07:03:34,,,
"GEPCD 1005, 08-031925-10",Threshold (3),Wounded Land,"Giant Electric Pea, Giant Electric Pea","CD, Album",,1993,5176560,verkoop,2017-06-19 03:31:15,,,
DICD 3764,1st Avenue (2),Tears And Triumph,Indisc,"CD, Album",,1992,3760565,verkoop,2017-06-18 11:30:55,,,
IRS CD 986.964,Stan Bush,Every Beat Of My Heart,"Intercord Record Service, L.A. Records (5)","CD, Album",,1993,2500314,verkoop,2017-06-19 07:06:48,,,
